"開票区","名前","得票数","開票区総数","開票区得票率","平均年収"
"福生市","ふなはしゆめと",1,25336.998,3.94679748563741e-05,3282727.64935246
"福生市","山田信一",1,25336.998,3.94679748563741e-05,3282727.64935246
"福生市","加藤英明",11.052,25336.998,0.000436200058112646,3282727.64935246
"福生市","草尾あつし",3,25336.998,0.000118403924569122,3282727.64935246
"福生市","津村大作",0,25336.998,0,3282727.64935246
"福生市","横山緑",12,25336.998,0.000473615698276489,3282727.64935246
"福生市","前田太一",2,25336.998,7.89359497127481e-05,3282727.64935246
"福生市","みなみ俊輔",0,25336.998,0,3282727.64935246
"福生市","ふくはらしるび",0,25336.998,0,3282727.64935246
"福生市","木村よしたか",2,25336.998,7.89359497127481e-05,3282727.64935246
"福生市","三輪陽一",7,25336.998,0.000276275823994618,3282727.64935246
"福生市","松尾芳治",1,25336.998,3.94679748563741e-05,3282727.64935246
"福生市","ホカリジン",2,25336.998,7.89359497127481e-05,3282727.64935246
"福生市","小林弘",30,25336.998,0.00118403924569122,3282727.64935246
"福生市","加藤健一郎",9.947,25336.998,0.000392587945896353,3282727.64935246
"福生市","ひまそらあかね",328,25336.998,0.0129454957528907,3282727.64935246
"福生市","向後真徳",3,25336.998,0.000118403924569122,3282727.64935246
"福生市","うしくぼのぶお",7,25336.998,0.000276275823994618,3282727.64935246
"福生市","古田真",4,25336.998,0.000157871899425496,3282727.64935246
"福生市","アキノリ将軍未満",3,25336.998,0.000118403924569122,3282727.64935246
"狛江市","野間口翔",3,43600.999,6.88057629138268e-05,4175879.10308173
"狛江市","さわしげみ",6,43600.999,0.000137611525827654,4175879.10308173
"狛江市","大和行男",72,43600.999,0.00165133830993184,4175879.10308173
"狛江市","木宮みつき",31,43600.999,0.000710992883442877,4175879.10308173
"狛江市","小池ゆりこ",18466,43600.999,0.423522405988909,4175879.10308173
"狛江市","うつみさとる",781,43600.999,0.0179124336118996,4175879.10308173
"狛江市","石丸伸二",10988.89,43600.999,0.252032986675374,4175879.10308173
"狛江市","小野寺こうき",2,43600.999,4.58705086092179e-05,4175879.10308173
"狛江市","しんどう伸夫",3,43600.999,6.88057629138268e-05,4175879.10308173
"狛江市","竹本秀之",7,43600.999,0.000160546780132263,4175879.10308173
"狛江市","桜井誠",424,43600.999,0.00972454782515419,4175879.10308173
"狛江市","ドクター・中松",142,43600.999,0.00325680611125447,4175879.10308173
"狛江市","安野たかひろ",785,43600.999,0.018004174629118,4175879.10308173
"狛江市","清水国明",271,43600.999,0.00621545391654902,4175879.10308173
"狛江市","ＡＩメイヤー",33,43600.999,0.000756863392052095,4175879.10308173
"狛江市","桑原まりこ",11,43600.999,0.000252287797350698,4175879.10308173
"狛江市","ゴトウテルキ",33,43600.999,0.000756863392052095,4175879.10308173
"狛江市","河合ゆうすけ",7,43600.999,0.000160546780132263,4175879.10308173
"狛江市","福本繁幸",14,43600.999,0.000321093560264525,4175879.10308173
"狛江市","黒川あつひこ",7,43600.999,0.000160546780132263,4175879.10308173
"狛江市","桑島康文",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","田母神としお",1585,43600.999,0.0363523780728052,4175879.10308173
"狛江市","蓮舫",9003,43600.999,0.206486094504394,4175879.10308173
"狛江市","ないとうひさお",12,43600.999,0.000275223051655307,4175879.10308173
"狛江市","内野愛里",9,43600.999,0.00020641728874148,4175879.10308173
"狛江市","石丸幸人",153.109,43600.999,0.00351159385132437,4175879.10308173
"狛江市","尾関あゆみ",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","小松けん",6,43600.999,0.000137611525827654,4175879.10308173
"狛江市","かがたたくじ",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","福永かつや",4,43600.999,9.17410172184358e-05,4175879.10308173
"狛江市","犬伏宏明",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","武内隆",3,43600.999,6.88057629138268e-05,4175879.10308173
"狛江市","遠藤信一",3,43600.999,6.88057629138268e-05,4175879.10308173
"狛江市","上楽むねゆき",4,43600.999,9.17410172184358e-05,4175879.10308173
"狛江市","二宮大造",5,43600.999,0.000114676271523045,4175879.10308173
"狛江市","中江ともや",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","ふなはしゆめと",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","山田信一",4,43600.999,9.17410172184358e-05,4175879.10308173
"狛江市","加藤英明",6,43600.999,0.000137611525827654,4175879.10308173
"狛江市","草尾あつし",2,43600.999,4.58705086092179e-05,4175879.10308173
"狛江市","津村大作",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","横山緑",7,43600.999,0.000160546780132263,4175879.10308173
"狛江市","前田太一",3,43600.999,6.88057629138268e-05,4175879.10308173
"狛江市","みなみ俊輔",0,43600.999,0,4175879.10308173
"狛江市","ふくはらしるび",3,43600.999,6.88057629138268e-05,4175879.10308173
"狛江市","木村よしたか",4,43600.999,9.17410172184358e-05,4175879.10308173
"狛江市","三輪陽一",1,43600.999,2.29352543046089e-05,4175879.10308173
"狛江市","松尾芳治",4,43600.999,9.17410172184358e-05,4175879.10308173
"狛江市","ホカリジン",0,43600.999,0,4175879.10308173
"狛江市","小林弘",39,43600.999,0.000894474917879749,4175879.10308173
